StoreNo,IDX,days,mean_daily_sales,median_daily_sales,positive_sales_days,zero_sales_days,positive_day_share,zero_day_share,rotation_group
R195,243626.0,554,0.9043321299638989,0.0,267,287,0.48194945848375453,0.5180505415162455,low
R195,243838.0,564,1.2092198581560283,1.0,307,257,0.5443262411347518,0.45567375886524825,medium
R195,246209.0,543,1.4511970534069982,1.0,324,219,0.5966850828729282,0.40331491712707185,medium
R195,246211.0,549,1.6939890710382515,1.0,348,201,0.6338797814207651,0.366120218579235,high
R195,247674.0,568,0.9982394366197183,1.0,295,273,0.5193661971830986,0.48063380281690143,low
R195,248187.0,524,5.940839694656488,6.0,387,137,0.7385496183206107,0.26145038167938933,high
R195,250019.0,463,1.3650107991360692,1.0,298,165,0.6436285097192225,0.3563714902807775,medium
R195,250020.0,482,1.3029045643153527,1.0,283,199,0.5871369294605809,0.41286307053941906,medium
R195,250021.0,543,1.570902394106814,1.0,342,201,0.6298342541436464,0.3701657458563536,medium
R195,250532.0,529,1.170132325141777,1.0,312,217,0.5897920604914934,0.4102079395085066,medium
R195,253395.0,547,1.4972577696526508,1.0,367,180,0.6709323583180987,0.3290676416819013,medium
R195,253620.0,554,2.8465703971119134,1.0,377,177,0.6805054151624549,0.3194945848375451,high
R195,253834.0,542,2.376383763837638,2.0,371,171,0.6845018450184502,0.3154981549815498,high
R195,254660.0,552,0.8333333333333334,0.0,260,292,0.47101449275362317,0.5289855072463768,low
R195,256036.0,491,1.0468431771894093,1.0,272,219,0.5539714867617108,0.4460285132382892,low
R195,256910.0,508,1.952755905511811,1.0,309,199,0.6082677165354331,0.39173228346456695,high
R195,256965.0,547,1.2010968921389398,1.0,319,228,0.583180987202925,0.41681901279707495,medium
R195,259448.0,509,0.9685658153241651,0.0,250,259,0.4911591355599214,0.5088408644400786,low
R195,261615.0,462,1.1904761904761905,1.0,277,185,0.5995670995670995,0.4004329004329004,medium
R195,262124.0,523,0.9158699808795411,0.0,240,283,0.4588910133843212,0.5411089866156787,low
R195,263620.0,494,1.8724696356275303,1.0,333,161,0.6740890688259109,0.3259109311740891,high
R195,264552.0,562,0.9270462633451957,0.0,280,282,0.498220640569395,0.501779359430605,low
R195,265931.0,554,1.0379061371841156,0.0,267,287,0.48194945848375453,0.5180505415162455,low
R195,267351.0,493,1.669371196754564,1.0,262,231,0.5314401622718052,0.4685598377281947,high
R195,267991.0,536,1.007462686567164,1.0,286,250,0.5335820895522388,0.4664179104477612,low
R195,268126.0,564,3.725177304964539,3.0,341,223,0.6046099290780141,0.3953900709219858,high
R195,268131.0,477,3.3144654088050314,3.0,365,112,0.7651991614255765,0.2348008385744235,high
R195,269497.0,542,1.2970479704797049,1.0,294,248,0.5424354243542435,0.4575645756457565,medium
R195,269501.0,544,2.363970588235294,1.0,369,175,0.6783088235294118,0.32169117647058826,high
R195,270200.0,556,0.9910071942446043,0.0,271,285,0.48741007194244607,0.512589928057554,low
R195,270761.0,532,0.9624060150375939,1.0,277,255,0.5206766917293233,0.4793233082706767,low
R195,274049.0,557,1.073608617594255,1.0,304,253,0.5457809694793537,0.4542190305206463,low
R195,277185.0,548,1.4762773722627738,1.0,328,220,0.5985401459854015,0.40145985401459855,medium
R195,277241.0,552,1.2735507246376812,1.0,324,228,0.5869565217391305,0.41304347826086957,medium
R195,278293.0,566,0.9946996466431095,1.0,314,252,0.5547703180212014,0.4452296819787986,low
R195,279558.0,543,1.1141804788213627,1.0,272,271,0.5009208103130756,0.4990791896869245,low
R195,281134.0,566,1.2773851590106007,1.0,288,278,0.508833922261484,0.4911660777385159,medium
R195,282298.0,515,0.7844660194174757,0.0,235,280,0.4563106796116505,0.5436893203883495,low
R195,288951.0,564,0.8581560283687943,0.0,270,294,0.4787234042553192,0.5212765957446809,low
R195,290702.0,546,0.847985347985348,1.0,278,268,0.5091575091575091,0.4908424908424908,low
R195,291459.0,558,1.0896057347670252,1.0,308,250,0.5519713261648745,0.44802867383512546,low
R195,293112.0,568,0.9313380281690141,1.0,310,258,0.545774647887324,0.45422535211267606,low
R195,293569.0,562,1.1209964412811388,1.0,297,265,0.5284697508896797,0.47153024911032027,low
R195,294312.0,505,1.0851485148514852,1.0,281,224,0.5564356435643565,0.44356435643564357,low
R195,295232.0,554,0.9061371841155235,1.0,282,272,0.5090252707581228,0.49097472924187724,low
R195,298246.0,532,1.300751879699248,1.0,312,220,0.5864661654135338,0.41353383458646614,medium
R195,298247.0,560,1.6107142857142858,1.0,368,192,0.6571428571428571,0.34285714285714286,high
R195,298248.0,543,1.3830570902394106,1.0,330,213,0.6077348066298343,0.39226519337016574,medium
